,contributor,bothunter,app,bodegha,rabbit
0,flyio-buildbot,Bot,False,Unknown,Bot
1,blockstack-devops,Bot,False,Unknown,Bot
2,SMillerDev,Human,False,Human,Human
3,petere,Human,False,Unknown,Human
4,bfontaine,Human,False,Unknown,Human
5,zuisong,Human,False,Human,Human
6,asyncapi-bot-eve,Bot,False,Unknown,Bot
7,EricFromCanada,Human,False,Human,Human
8,Moulick,Human,False,Human,Human
9,BrewTestBot,Bot,False,Human,Bot
10,carlocab,Human,False,Human,Human
11,ddollar,Human,False,Unknown,Human
12,seratch,Human,False,Unknown,Human
13,sferik,Human,False,Unknown,Human
14,samford,Human,False,Human,Human
15,jesseduffield,Human,False,Unknown,Human
16,claui,Human,False,Unknown,Human
17,jeremylong,Human,False,Bot,Human
18,tchajed,Human,False,Unknown,Human
19,FnControlOption,Human,False,Unknown,Human
20,flyio-flyctl-bot,Bot,False,Unknown,Bot
21,avsm,Human,False,Unknown,Human
22,denysdovhan,Human,False,Unknown,Human
23,derrabus,Human,False,Human,Human
24,github-merge-queue[bot],Bot,True,Unknown,Bot
25,jidicula,Human,False,Unknown,Human
26,bevanjkay,Human,False,Human,Human
27,branchvincent,Human,False,Human,Human
28,nevack,Human,False,Unknown,Human
29,mkhl,Human,False,Unknown,Human
30,wing328,Human,False,Unknown,Human
31,stgraber,Human,False,Unknown,Human
32,soloio-bot,Bot,False,Unknown,Bot
33,matchai,Human,False,Unknown,Human
34,kevinAlbs,Human,False,Unknown,Human
35,curquiza,Human,False,Bot,Human
36,dandavison,Human,False,Unknown,Human
37,pulumi-bot,Bot,False,Bot,Bot
38,epistrephein,Human,False,Unknown,Human
39,github-actions[bot],Bot,True,Bot,Bot
